timestamp,site,pandas,R,total_R_pandas
2010-12-31,stackoverflow,2.0,2258.0,2260.0
2011-12-31,stackoverflow,14.0,5826.0,5840.0
2012-12-31,stackoverflow,748.0,12149.0,12897.0
2013-12-31,stackoverflow,3031.0,22145.0,25176.0
2014-12-31,stackoverflow,5660.0,30743.0,36403.0
2015-12-31,stackoverflow,8974.0,40597.0,49571.0
2016-12-31,stackoverflow,15246.0,44304.0,59550.0
2017-12-31,stackoverflow,23160.0,50895.0,74055.0
2018-12-31,stackoverflow,31343.0,51970.0,83313.0
2019-12-31,stackoverflow,38715.0,49958.0,88673.0
2020-12-31,stackoverflow,50289.0,59938.0,110227.0
2021-12-31,stackoverflow,45602.0,51465.0,97067.0
2022-12-31,stackoverflow,,,
